STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,MDPR,PRCP,num.days.with.rain,,tot.day.with,tot.days,tot.day.without,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,2/22/2017,,,0,6,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,2/23/2017,,,0,7,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,2/24/2017,,,0,8,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,2/25/2017,,,0,9,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,2/26/2017,,,0,10,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,2/27/2017,,,0,11,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,2/28/2017,,,0,12,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,3/1/2017,,,0,13,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,3/2/2017,,,17.3,0,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,3/3/2017,,,0,1,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,3/4/2017,,,0,2,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,3/5/2017,,,0,3,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,3/6/2017,,,0,4,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,3/7/2017,,,0,5,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,3/8/2017,,,0.3,0,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,3/9/2017,,,0.8,0,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,3/10/2017,,,0,1,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,3/11/2017,,,0.5,0,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,3/12/2017,,,0,1,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,3/13/2017,,,0.3,0,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,3/14/2017,,,30,0,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,3/15/2017,,,0.5,0,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,3/16/2017,,,0,1,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,3/17/2017,,,0,2,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,3/18/2017,,,4.6,0,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,3/19/2017,,,14.7,0,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,3/20/2017,,,0,1,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,3/21/2017,,,0.5,0,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,3/22/2017,,,15.7,0,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,3/23/2017,,,0,1,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,3/24/2017,,,0,2,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,3/25/2017,,,0,3,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,3/26/2017,,,0,4,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,3/27/2017,,,0,5,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,3/28/2017,,,0,6,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,3/30/2017,2,2.5,,0,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,3/31/2017,,,1.3,0,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,4/1/2017,,,20.1,0,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,4/2/2017,,,0,1,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,4/3/2017,,,0,2,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,4/4/2017,,,5.1,0,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,4/5/2017,,,0,1,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,4/6/2017,,,8.6,0,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,4/7/2017,,,2.3,0,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,4/8/2017,,,0,1,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,4/9/2017,,,0,2,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,4/10/2017,,,0,3,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,4/11/2017,,,0,4,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,4/12/2017,,,0,5,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,4/13/2017,,,0.5,0,,,,,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,4/14/2017,,,0,1,,,,,
